TICKER,2008,2009,2010,2011,2012,2013
ALK,14.625,17.28,28.345,37.545,43.09,73.37
AMZN,51.28,134.52,180,173.1,250.87,398.79
ANCB,#N/A N/A,#N/A N/A,#N/A N/A,6.2,14.2,18.29
AVA,19.38,21.59,22.52,25.75,24.11,28.19
BANR,65.87,18.76,16.24,17.15,30.73,44.82
BBSI,10.9,12.29,15.55,19.96,38.09,92.74
BCOR,7.55,8.57,8.3,10.99,15.71,29.16
BREW,1.2,2.4,7.39,6.02,6.48,16.42
BSQR,2.3615,2.5,8.75,3.42,2.9324,3.58
CACB,67.5,6.8,8.45,4.38,6.26,5.23
CDE,8.8,18.06,27.32,24.14,24.6,10.85
CLIR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.84,11.45
CLW,4.195,27.485,39.15,35.61,39.16,52.5
CNQR,32.82,42.75,51.93,50.79,67.52,103.18
COLB,11.4675,15.5528,20.2436,18.5733,17.8535,27.3574
COLM,34.3778,37.9448,60.3,46.55,53.36,78.75
COST,49.0313,55.2606,67.4391,77.815,98.73,119.02
CRAY,2.08,6.42,7.17,6.47,15.95,27.46
CSCD,1.95,4.58,4.35,3.41,5.6,9.32
CUI,3,2.55,7.5,5.7,5.49,6.32
DMRC,10.02,14.99,30.01,23.89,20.7,19.26
DNDN,4.58,26.28,34.92,7.6,5.29,2.99
EAC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.43,20.79
ECOL,20.23,17.04,17.38,18.78,23.54,37.102
EMAN,0.5251,1.8282,5.8347,3.5981,3.57,2.83
EPAX,8.3103,11.9776,10.3878,4.0738,4.26,4.65
ESC,10.03,18.75,19.71,17.51,24.72,21.63
ESIO,5.6293,8.9704,13.2898,12.0048,9.95,10.46
ESL,37.89,40.77,68.59,55.97,63.61,101.96
EXPD,33.27,34.77,54.6,40.96,39.55,44.25
EXPE,7.6828,23.9902,23.3935,28.7709,61.44,69.66
FEIC,18.86,23.36,26.41,40.78,55.4704,89.36
FFIV,22.86,52.97,130.16,106.12,97.15,90.86
FFNW,9.34,6.55,4,5.9,7.55,10.37
FLIR,30.68,32.73,29.75,25.07,22.3157,30.1
FSBW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.97,17.15
GBX,6.87,10.38,20.99,24.28,16.17,32.84
HFWA,11.5042,12.941,13.0725,12.0473,14.5972,17.1
HL,2.7903,6.1587,11.2211,5.2119,5.8161,3.08
HMST,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,25.1193,19.8778
HOME,10.6086,13.1717,12.1425,10.2919,12.43,14.9
IDA,29.45,31.95,36.98,42.41,43.35,51.84
IMCB,44,24,14.8,9.5,11.5,15.75
ITRI,63.74,67.57,55.45,35.77,44.55,41.43
JCTCF,2.515,3.425,4.525,4.085,6.325,10.45
JWN,13.31,37.58,42.38,49.71,53.5,61.8
KTCC,0.97,3.85,5.22,4.69,10.24,11.02
KTEC,18.89,11.756,17.01,13.05,10.45,14.33
LAD,3.26,8.22,14.29,21.86,37.42,69.42
LSCC,1.51,2.7,6.06,5.94,3.99,5.49
MCHX,5.83,5.08,9.54,6.25,4.11,8.65
MENT,5.17,8.83,12,13.56,17.02,24.07
MSFT,19.44,30.48,27.91,25.96,26.7097,37.41
MU,2.64,10.56,8.02,6.29,6.34,21.75
MWIV,26.96,37.7,63.15,66.44,110,169.966
NILE,24.49,63.33,57.06,40.88,38.48,47.09
NKE,25.5,33.035,42.71,48.185,51.6,78.64
NLS,2.21,2.03,1.78,1.75,3.51,8.43
NWN,44.23,45.04,46.47,47.93,44.2,42.82
NWPX,42.61,26.86,24.03,22.86,23.86,37.76
OGXI,3,22.28,16.79,11.74,13.12,8.34
OMER,#N/A N/A,7.02,8.24,3.95,5.19,11.29
ONVI,3.42,7.87,4.63,2.86,3.6799,4.96
OUTR,19.51,27.78,56.44,45.64,52.01,67.27
PCAR,26.9957,34.2354,54.4088,36.2349,44.5066,59.17
PCBK,14.209,10.8584,9.5486,8.4001,9.3063,15.707
PCH,26.01,31.88,32.55,31.11,39.1491,41.74
PCL,34.74,37.76,37.45,36.56,44.37,46.51
PCP,59.48,110.35,139.21,164.79,189.42,269.3
POPE,20,24.6,36.8,42.99,55.68,67
POR,19.47,20.41,21.7,25.29,27.36,30.2
RENT,11.79,17.67,30.16,14.28,19.49,37.89
RLH,2.38,4.94,7.98,6.93,7.89,6.05
RNWK,9.4905,9.9744,11.2918,7.5,7.56,7.55
RSYS,5.53,9.55,8.9,5.06,2.98,2.29
SBUX,9.46,23.06,32.13,46.01,53.63,78.39
SCHN,37.65,47.7,66.39,42.28,30.33,32.67
SFBC,7.12,4.4,4.8,7.5,10.4,16.897
SFG,41.77,40.02,45.14,36.75,36.67,66.25
SGEN,8.94,10.16,14.95,16.715,23.17,39.89
SMIT,3.9,3.5,2.92,3.2,3,2.5585
STSA,562.5293,39.6327,18.3733,16.1747,20.5842,34.08
SYA,#N/A N/A,#N/A N/A,13.7,9.07,12.98,18.96
TBI,9.57,14.81,17.99,13.88,15.75,25.78
TMUS,19.5431,10.0413,16.6215,11.4231,13.0813,33.64
TQNT,3.44,6,11.69,4.87,4.83,8.34
TSBK,7.45,4.44,3.6099,3.95,6.94,9.62
UMPQ,14.4177,13.3615,12.136,12.3452,11.7474,19.14
WAFD,14.96,19.34,16.92,13.99,16.87,23.29
WBCO,8.6614,11.8871,13.6492,11.8572,13.62,17.73
WVVI,2.98,3.5,3.51,3,3.69,6.29
WY,11.3198,15.9535,18.93,18.67,27.82,31.57
Z,#N/A N/A,#N/A N/A,#N/A N/A,22.48,27.75,81.73
ZUMZ,7.45,12.72,26.87,27.76,19.41,26
